Эпоха/стиль;Номер;Название;Дата создания;Местонахождение;Создатель
;37;Воспитательный Дом;1419 год ;Флоренция, Италия;Филиппо Брунеллески
;38;Палаццо Медичи;1444 год;Флоренция, Италия;Микелоццо ди Бартоломео
;39;Санта-Мария-дель-Фьоре;1296 год;Флоренция, Италия;Филиппо Брунеллески, Арнольфо ди Камбио и др.
;40;Храм Василия Блаженного;1555 год;Москва, Россия;Барма и Постник
;41;Церковь Сан-Лоренцо;1424 год ;Флоренция, Италия;Филиппо Брунеллески
;122;Вилла Ротонда;1567 год;Виченца, Италия;Андреа Палладио и Винченцо Скамоцци
;123;Дворец дожей;1309 год;Венеция, Италия;Филиппо Календарио
;124;Дворец Фонтенбло;1528 год ;Фонтенбло, Франция;Филибер Делорм
;125;Замок Шамбор ;1519 год;Шамбор, Франция;Боккадор
;126;Церковь Сант-Агостино;1479 год;Рим, Италия;Якопо да Пьетрасанта
;127;Уоллатон-Холл;1580 год;Ноттингем, Великобритания;Роберт Смитсон
;158;Базилика Санто-Спирито;1436 год;Флоренция, Италия;Филиппо Брунеллески
;159;Капелла Пацци;1429 год;Флоренция, Италия;Филиппо Брунеллески
;212;Сан-Марко;1437 год;Флоренция, Италия;Микелоццо ди Бартоломео
;213;Палаццо Веккьо;1299 год;Флоренция, Италия;Арнольфо ди Камбио
;214;Капелла Портинари;1462 год;Милан, Италия;Гвинифорте Солари
;215;Санта-Мария-делла-Паче;1482 год;Рим, Италия;Донато Браманте
;216;Санта-Мария-делле-Грацие;1466 год;Милан, Италия;Гвинифорте Солари, Донато Браманте
;217;Площадь Дукале;1492 год;Виджевано, Италия;Донато Браманте
;218;Темпьетто;1502 год;Рим, Италия;Донато Браманте
;219;Лестница Браманте;1505 год;Ватикан;Донато Браманте
;220;Сант-Андреа-ин-виа-Фламиниа;1552 год;Рим, Италия;Джакомо Бароцци да Виньола
;221;Вилла Джулия;1551 год;Рим, Италия;Джакомо Бароцци да Виньола
;222;Вилла Фарнезе;1558 год;Капрарола, Италия;Джакомо Бароцци да Виньола
;223;Церковь Иль-Джезу;1568 год;Рим, Италия;Джакомо Бароцци да Виньола и Джакомо Делла Порта
;224;Вилла Годи;1537 год;Луго-ди-Виченца, Италия;Андреа Палладио
;225;Вилла Пьовене;1539 год;Луго-ди-Виченца, Италия;Андреа Палладио
;226;Палладианская базилика ;1549 год;Виченца, Италия;Андреа Палладио
;227;Палаццо Кьерикати;1550 год;Виченца, Италия;Андреа Палладио
;228;Базилика Сан-Пьетро-ди-Кастелло;1558 год;Венеция, Италия;Андреа Палладио
;288;Ораторий Санта-Мария-дельи-Анджели (не был достроен);1434 год;Флоренция, Италия;Филиппо Брунеллески
;289;Грановитая палата;1487 год;Москва, Россия;Марк Фрязин и Пьетро Антонио Солари
;290;Беклемишевская башня;1488 год;Москва, Россия;Марк Фрязин
;291;Павийская Чертоза;1396 год;провинция Павия, Италия;Марко Солари
;292;Константино-Еленинская башня;1490 год;Москва, Россия;Пьетро Антонио Солари
;293;Санта-Мария Ассунта;1488 год;Павия, Италия;Донато Браманте
;294;Дворец Канчеллерия;1483 год ;анклав Ватикана в Риме, Италия;Донато Браманте
;295;Ворота Пия;1561 год;Рим, Италия;Микеланджело Буонарроти
;296;Санта-Мария-дельи-Анджели-э-дей-Мартири;1561 год;Рим, Италия;Микеланджело Буонарроти
;297;Палаццо Фарнезе;1514 год;Рим, Италия;Антонио да Сангалло Младший, Микеланджело Буонарроти, Джакомо делла Порта
;298;Библиотека Лауренциана;1525 год;Флоренция, Италия;Микеланджело Буонарроти
;299;Вилла Мадама;1518 год;Рим, Италия;Рафаэль Санти, Антонио да Сангалло Младший
;300;Палаццо Бальдассини;1516 год;Рим, Италия;Антонио да Сангалло Младший 
;301;Базилика Сан-Джованни-деи-Фиорентини;1523 год;Рим, Италия;Антонио да Сангалло Младший и Джакомо делла Порта
;302;Национальная Библиотека Марчиана;1537 год;Венеция, Италия;Якопо Сансовино
;303;Лоджетта ;1537 год;Венеция, Италия;Якопо Сансовино
;304;Палаццо Дольфин-Манин;1536 год;Венеция, Италия;Якопо Сансовино
;305;Палаццо делла Лоджия;1492 год;Брешия, Италия;Донато Браманте
;306;Палаццо дель Те;1524 год;Мантуя, Италия;Джулио Романо
;307;Капелла Медичи;1519 год;Флоренция, Италия;Микеланджело Буонарроти
;531;Вилла Корнаро;1552 год;Пьомбино-Дезе, Италия;Андреа Палладио
;532;Вилла Барбаро;1558 год;Мазер, Италия;Андреа Палладио
;533;Вилла Фоскари;1559 год;Мира, Италия;Андреа Палладио
;534;Вилла Эмо;1558 год;близ Веделаго, Италия;Андреа Палладио
Барокко;;;;;
;42;Зимний дворец;1754 год;Санкт-Петербург, Россия;Франческо Растрелли
;43;Карлскирхе;1716 год;Вена, Австрия;Иоганн и Йозеф Фишер фон Эрлахи
;44;Собор Святого Павла;1675 год;Лондон, Великобритания;Кристофер Рен
;45;Сан-Карло алле Куатро Фонтане;1638 год;Рим, Италия;Франческо Борромини
;81;Базилика Санта-Кроче;1549 год;Лечче, Италия;Габриэле Рикарди и Джузеппе Цингарелло
;82;Андреевская церковь;1747 год;Киев, Украина;Франческо Растрелли и Иван Фёдорович Мичурин
;83;Палаццо Кариньяно;1679 год;Турин, Италия;Гварино Гварини
;84;Собор святого Юра;1760 год;Львов, Украина ;Бернард Меретин
;85;Рождественская (Строгановская) церковь;1696 год;Нижний Новгород, Россия;Лев Владимирович Даль и Роберт Яковлевич Килевейн
;86;Ступиниджи;1729 год;Никелино(близ Турина), Италия;Филиппо Юварра
;87;Фрауэнкирхе;1726 год;Дрезден, Германия;Георг Бер
;160;Сант-Андреа-аль-Квиринале;1658 год;Рим, Италия;Джованни Лоренцо Бернини
;161;Собор Сакатекаса;1730 год;Сакатекас, Мексика;не известен
;162;Церковь Валь-де-Грас;1667 год;Париж, Франция ;Франсуа Мансар, Жак Лемерсье, Пьер Ле Мюэ, Габриэль Ле Дюк
;247;Палаццо Барберини;1625 год;Рим, Италия;Карло Мадерна, Франческо Борромини, Джованни Лоренцо Бернини
;248;Церковь Сант-Иво-алла-Сапьенца;1642 год;Рим, Италия;Франческо Борромини
;249;Латеранская базилика ;1646 год;Рим, Италия;Франческо Борромини
;250;Сантуарио-делла-Консолата;1678 год;Турин, Италия;Гварино Гварини
;251;Церковь святого Лаврентия;1668 год;Турин, Италия;Гварино Гварини
;252;Сантиссима-Аннунциата-деи-Театини;1660 год;Мессина, Италия;Гварино Гварини
;253;Санта-Мария-ин-Виа-Лата;1658 год;Рим, Италия;Пьетро да Кордона
;254;Сан-Карло-аль-Корсо;1612 год;Рим, Италия;Онорио Лонги, Мартино Лонги-младший, Пьетро да Кордона
;255;Церковь святых Луки и Мартины ;1635 год;Рим, Италия;Пьетро да Кордона
;256;Собор святого Петра;1506 год;Ватикан;Донато Браманте, Микеланджело, Джованни Лоренцо Бернини и др.
;257;Палаццо Монтечиторио;1653 год;Рим, Италия;Джованни Лоренцо Бернини и Карло Фонтана
;258;Церковь Сан-Томмазо да Вилланова;1657 год;Кастель-Гандольфо, Италия;Джованни Лоренцо Бернини
;259;Большой Екатерининский дворец;1752 год;Санкт-Петербург, Россия;Франческо Бартоломео Растрелли
;260;Воронцовский дворец;1749 год;Санкт-Петербург, Россия;Франческо Бартоломео Растрелли
;261;Рундальский дворец;1736 год;Пилсрундале, Латвия;Франческо Бартоломео Растрелли
;457;Ораторио-дей-Филиппини;1632 год;Рим, Италия;Франческо Борромини
;458;Сант-Аньезе-ин-Агоне;1652 год;Рим, Италия;Франческо Борромини
;459;Палаццо Памфили;1644 год;Рим, Италия;Джилорамо Райнальди и Франческо Борромини
;460;Палаццо Спада;1632 год;Рим, Италия;Франческо Борромини
;461;Сант-Андреа-делле-Фратте;1653 год;Рим, Италия;Франческо Борромини
;462;Дворец Шёнбрунн;1696 год;Вена, Австрия;Иоганн Бернхард Фишер фон Эрлах
;463;Церковь Святой Троицы;1694 год;Зальцбург, Австрия;Иоганн Бернхард Фишер фон Эрлах
;464;Верхний Бельведер (Вена);1722 год;Вена, Австрия;Иоганн Лукас фон Хильдебрандт
;465;Здание Австрийской национальной библиотеки;1722 год;Вена, Австрия;Иоганн и Йозеф Фишер фон Эрлахи
;466;Дворец Шварценберг (Вена);1697 год;Вена, Австрия;Иоганн Лукас фон Хильдебрандт и Иоганн Бернхард Фишер фон Эрлах
;467;Собор Дома инвалидов;1679 год;Париж, Франция ;Жюль Ардуэн-Мансар
;468;Замок Ховард;1699 год;графство Северный-Йоркшир, Великобритания;Джон Ванбру
;469;Чатсуорт-хаус;1687 год;графство Дербишир, Великобритания;Уильям Талман
;470;Санта-Сусанна;1603 год;Рим, Италия;Карло Мадерна
;471;Санта-Мария-делла-Виттория;1608 год;Рим, Италия;Карло Мадерна
;472;Палаццо Маттеи ди Джове;1598 год;Рим, Италия;Карло Мадерна
;473;Палаццо Боргезе;1561 год;Рим, Италия;Джакомо Бароцци да Квиньола
;490;Летний дворец Петра I;1710 год;Санкт-Петербург, Россия;Доменико Трезини
;491;Петропавловский собор ;1712 год;Санкт-Петербург, Россия;Доменико Трезини
;492;Здание Двенадцати Коллегий;1722 год;Санкт-Петербург, Россия;Доменико Трезини
;493;Свято-Троицкая Александро-Невская лавра;1710 год;Санкт-Петербург, Россия;Доменико Трезини
;494;Храм Покрова Пресвятой Богородицы в Филях;1690 год;Москва, Россия;не известен
;495;Церковь Архангела Михаила в Станиславле;1696 год;Москва, Россия;не известен
;496;Надвратная Церковь Покрова Пресвятой Богородицы в Высоко-Петровском монастыре;1690 год;Москва, Россия;не известен
;497;Церковь Троицы Живоначальной;1696 год;Москва, Россия;Евдокия Абрамовна Чирикова
;498;Меньшиковский дворец;1710 год;Санкт-Петербург, Россия;Джиованни Мария Фонтана и Готфрид Иоганн Шедель
;499;Меншикова башня;1704 год;Москва, Россия;Иван Петрович Зарудный
;500;Храм Святого Иоанна Воина на Якиманке;1704 год;Москва, Россия;Иван Петрович Зарудный
;501;Церковь Смоленской иконы Божией Матери (Кривцы);1703 год;Московская область, Россия;не известен
;502;Церковь Знамения Пресвятой Богородицы (Дубровицы);1690 год;Московская область, Россия;не известен
;503;Церковь Покрова Пресвятой Богородицы в Тропарёво;1713 год;Московская область, Россия;не известен
;504;Путевой дворец (Стрельна);1716 год;Санкт-Петербург, Россия;Жан-Батист Леблон и Николо Микетти
;505;Большой Стрельнинский дворец;1720 год;Санкт-Петербург, Россия;Жан-Батист Леблон и Николо Микетти
;506;Кикины палаты;1714 год;Санкт-Петербург, Россия;не известен
;507;Кунксткамера;1718 год;Санкт-Петербург, Россия;Георг Иоганн Маттарнови
;508;Монплезир;1714 год;Санкт-Петербург, Россия;Иоганн Фридрих Браунштейн
;509;Дворец Марли;1720 год;Санкт-Петербург, Россия;Иоганн Фридрих Браунштейн
;510;Храм Архангела Михаила в Тропарёве;1693 год;Москва, Россия;гипотетический зодчий Пётр Потапов (приписывается)
;511;Строгановский дворец ;1753 год;Санкт-Петербург, Россия;Франческо Бартоломео Растрелли
;512;Николо-Богоявленский морской собор;1753 год;Санкт-Петербург, Россия;Савва Иванович Чевакинский
;513;Фонтанный дом;конец 1730-х - начало 1740-х;Санкт-Петербург, Россия;Г.Д. Дмитриев, Савва Иванович Чевакинский, Фёдор Семёнович Аргунов
;514;Собор Рождества Пресвятой Богородицы (Козелец);1752 год;Черниговская область, Украина;Андрей Васильевич Квасов и Иван Григорьевич Григорович-Барский
;515;Благовещенская церковь Александро-Невской лавры;1717 год;Санкт-Петербург, Россия;Доменико Трезини, Кристоф Конрад, Теодор Швертфегер
;613;Сант-Иньяцио;1626 год;Рим, Италия;Карло Мадерна и Орацио Грасси
;614;Пласа-Майор;1617 год;Мадрид, Испания;Хуан Гомес де Мора
Классицизм;;;;;
;46;Новая Вахта;1816 год;Берлин, Германия;Карл Фридрих Шенкель
;47;Пантеон ;1758 год;Париж, Франция ;Жак-Жермен Суффло
;48;Площадь Согласия;1755 год;Париж, Франция ;Анж-Жак Габриэль
;49;Дом-сокровищница Уобёрн-Эбби;1748 год;графство Бедфордшир, Великобритания;Генри Флиткрофт
;102;Версаль;1661 год;Париж, Франция ;Луи Лево и Жюль Ардуэн-Мансар
;103;Банкетинг-хаус;1619 год;Лондон, Великобритания;Иниго Джонс
;104;Главное адмиралтейство;1823 год;Санкт-Петербург, Россия;Иван Кузьмич Коробов и Андреян Дмитриевич Захаров
;105;Квинс-хаус;1614 год;Гринвич, Великобритания;Иниго Джонс
;106;Луврский дворец ;1527 год;Париж, Франция ;Пьер Леско, Жак Лемерсье, Луи Лево и др.
;107;Церковь святого Павла;1631 год;Лондон, Великобритания;Иниго Джонс
;108;Таврический дворец;1783 год;Санкт-Петербург, Россия;Иван Старов
;163;Площадль Шарля де Голля (Площадь Звезды);1854 год;Париж, Франция ;Барон Осман
;164;Собор святого Георгия;1797 год;Стамбул, Турция;патриарх Григорий V
;165;Триумфальная арка в Париже;1806 год;Париж, Франция ;Жан-Франсуа Шальгрен
;166;Триумфальная арка на площади Каррузель;1806 год;Париж, Франция ;Шарль Персье и Пьер Фонтен
;350;Усадьба Кирьяново;1783 год;Санкт-Петербург, Россия;Джакомо Кваренги
;351;Здание Петербургской академии наук;1783 год;Санкт-Петербург, Россия;Джакомо Кваренги
;352;Дом Салтыкова;1784 год;Санкт-Петербург, Россия;Джакомо Кваренги
;353;Собор святых Петра и Павла;1841 год;Таллин, Эстония;Карл Иванович Росси
;354;Колокольня Юрьева монастыря;1838 год;Великий Новгород, Россия;Карл Иванович Росси
;355;Елагин дворец;1818 год;Санкт-Петербург, Россия;Карл Иванович Росси
;356;Павловский дворцово-парковый ансамбль;1782 год;Павловск, Россия;Чарлз Камерон, Винченцо Бренна, Джакомо Кваренги, А.Н.Воронихин, К.И.Росси
;357;Воронихинские колоннады;1800 год;Петергоф, Россия;Андрей Никифорович Воронихин
;358;Казанский собор;1801 год;Санкт-Петербург, Россия;Андрей Никифорович Воронихин
;359;Здание Санкт-Петербургского горного института;1806 год;Санкт-Петербург, Россия;Андрей Никифорович Воронихин
;360;Больница Отель-Дьё;1748 год;Лион, Франция;Жак-Жермен Суффло
;361;Замок Менар;1764 год;Менар, Франция;Жак-Жермен Суффло
;362;Школа права в Париже;1771 год;Париж, Франция ;Жак-Жермен Суффло
;363;Особняк Губина;1793 год;Москва, Россия;Матвей Фёдорович Казаков
;364;Церковь Филиппа Митрополита в Мещанской слободе;1777 год;Москва, Россия;Матвей Фёдорович Казаков
;365;Городская клиническая больница №4 (Павловская больница);1803 год;Москва, Россия;Матвей Фёдорович Казаков
;366;Здание Главного штаба;1819 год;Санкт-Петербург, Россия;Карл Иванович Росси
;367;Александринский театр;1828 год;Санкт-Петербург, Россия;Карл Иванович Росси
;368;Императорская публичная библиотека;1795 год;Санкт-Петербург, Россия;Егор Тимофеевич Соколов, К.И.Росси, Василий Иванович Собольщиков, Евграф Сергеевич Воротилов
;369;Здания Сената и Синода;1829 год;Санкт-Петербург, Россия;Карл Иванович Росси
;370;Михайловский дворец;1819 год;Санкт-Петербург, Россия;Карл Иванович Росси
;371;Здание Ассигнационного банка;1783 год;Санкт-Петербург, Россия;Джакомо Кваренги
